2023-05-01 15:35:09 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2023-05-01 15:35:10 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2023-05-01 15:35:10 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2a519873-3bf9-3410-9240-bed5bf7485b8
2023-05-01 15:35:10 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2a519873-3bf9-3410-9240-bed5bf7485b8
2023-05-01 15:35:11 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-05-01 15:35:11 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-05-01 15:35:11 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-05-01 15:35:11 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-05-01 15:35:11 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2023-05-01 15:35:11 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-01 15:35:11 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1194 ms
2023-05-01 15:35:11 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1194 ms
2023-05-01 15:35:11 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2023-05-01 15:35:11 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2023-05-01 15:35:15 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/encrypt/**'], []
2023-05-01 15:35:15 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/encrypt/**'], []
2023-05-01 15:35:15 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/decrypt/**'], []
2023-05-01 15:35:15 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/decrypt/**'], []
2023-05-01 15:35:15 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/actuator/**'], []
2023-05-01 15:35:15 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/actuator/**'], []
2023-05-01 15:35:15 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@cf08c97, org.springframework.security.web.context.SecurityContextPersistenceFilter@2ceb68a1, org.springframework.security.web.header.HeaderWriterFilter@60a6840c, org.springframework.security.web.csrf.CsrfFilter@3350ab4, org.springframework.security.web.authentication.logout.LogoutFilter@4cf230bf, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4cd5fc46, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@5bb99d1d, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@37c87fcc, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@1f5d7fd5, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@69c33ea2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7b3c0ecb, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@ca2be53, org.springframework.security.web.session.SessionManagementFilter@1be3f8f8, org.springframework.security.web.access.ExceptionTranslationFilter@2efcc0b3, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1686ed85]
2023-05-01 15:35:15 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@cf08c97, org.springframework.security.web.context.SecurityContextPersistenceFilter@2ceb68a1, org.springframework.security.web.header.HeaderWriterFilter@60a6840c, org.springframework.security.web.csrf.CsrfFilter@3350ab4, org.springframework.security.web.authentication.logout.LogoutFilter@4cf230bf, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4cd5fc46, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@5bb99d1d, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@37c87fcc, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@1f5d7fd5, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@69c33ea2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7b3c0ecb, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@ca2be53, org.springframework.security.web.session.SessionManagementFilter@1be3f8f8, org.springframework.security.web.access.ExceptionTranslationFilter@2efcc0b3, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1686ed85]
2023-05-01 15:35:16 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2023-05-01 15:35:16 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2023-05-01 15:35:16 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-05-01 15:35:16 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-05-01 15:35:16 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-05-01 15:35:16 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 7.835 seconds (JVM running for 8.32)
2023-05-01 15:38:43 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-01 15:38:43 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-01 15:38:43 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-01 15:38:44 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2023-05-01 15:38:44 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2023-05-01 15:38:44 [http-nio-8888-exec-1] WARN  o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [259] milliseconds.
2023-05-01 15:38:46 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/Daiana/AppData/Local/Temp/config-repo-2977901053107750950/config-client-reactive_elastic_query.yml
2023-05-01 15:38:46 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/Daiana/AppData/Local/Temp/config-repo-2977901053107750950/config-client-reactive_elastic_query.yml
