2023-04-03 14:42:56 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2023-04-03 14:42:57 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2023-04-03 14:42:58 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=9f2b0f5b-a5d0-3e50-ac08-c75b27d86a88
2023-04-03 14:42:58 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-04-03 14:42:58 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-04-03 14:42:58 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-04-03 14:42:58 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2023-04-03 14:42:58 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-03 14:42:58 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1134 ms
2023-04-03 14:42:58 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2023-04-03 14:43:00 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/encrypt/**'], []
2023-04-03 14:43:00 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/decrypt/**'], []
2023-04-03 14:43:00 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/actuator/**'], []
2023-04-03 14:43:00 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5c25daad, org.springframework.security.web.context.SecurityContextPersistenceFilter@2739ecc0, org.springframework.security.web.header.HeaderWriterFilter@41e7a544, org.springframework.security.web.csrf.CsrfFilter@1d06801f, org.springframework.security.web.authentication.logout.LogoutFilter@4f4d05b3, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2862271a, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@5178345d, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@6fdc2db6, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@3df04fa1, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3d98729a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2a6dbb7c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5be69f7e, org.springframework.security.web.session.SessionManagementFilter@573870cb, org.springframework.security.web.access.ExceptionTranslationFilter@117fb9ba, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2ec92631]
2023-04-03 14:43:01 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2023-04-03 14:43:01 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-04-03 14:43:01 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-04-03 14:43:01 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 5.816 seconds (JVM running for 6.866)
2023-04-03 14:43:02 [RMI TCP Connection(3)-192.168.1.8] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-03 14:43:02 [RMI TCP Connection(3)-192.168.1.8] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-03 14:43:02 [RMI TCP Connection(3)-192.168.1.8] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 6 ms
2023-04-03 14:46:36 [http-nio-8888-exec-1] WARN  o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [182] milliseconds.
2023-04-03 14:46:37 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/Daiana/AppData/Local/Temp/config-repo-9638040821068341203/config-client-twitter_to_kafka.yml
2023-04-03 14:46:37 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/Daiana/AppData/Local/Temp/config-repo-9638040821068341203/config-client.yml
2023-04-03 14:48:45 [Thread-3] WARN  o.s.c.c.s.e.MultipleJGitEnvironmentRepository - Failed to delete temporary directory on exit: java.nio.file.AccessDeniedException: C:\Users\Daiana\AppData\Local\Temp\config-repo-9638040821068341203\.git\objects\pack\pack-c74609fc28a01177f8308fd20d404107ea3b656f.idx
2023-04-03 14:48:45 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
