2023-04-27 14:12:48 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2023-04-27 14:12:52 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2023-04-27 14:12:56 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2a519873-3bf9-3410-9240-bed5bf7485b8
2023-04-27 14:12:56 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2a519873-3bf9-3410-9240-bed5bf7485b8
2023-04-27 14:12:57 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-04-27 14:12:57 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-04-27 14:12:57 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-04-27 14:12:57 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-04-27 14:12:57 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2023-04-27 14:12:58 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-27 14:12:58 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5977 ms
2023-04-27 14:12:58 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5977 ms
2023-04-27 14:12:59 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2023-04-27 14:12:59 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2023-04-27 14:13:08 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/encrypt/**'], []
2023-04-27 14:13:08 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/encrypt/**'], []
2023-04-27 14:13:08 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/decrypt/**'], []
2023-04-27 14:13:08 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/decrypt/**'], []
2023-04-27 14:13:08 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/actuator/**'], []
2023-04-27 14:13:08 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/actuator/**'], []
2023-04-27 14:13:09 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@62b42406, org.springframework.security.web.context.SecurityContextPersistenceFilter@774013dc, org.springframework.security.web.header.HeaderWriterFilter@36638b59, org.springframework.security.web.csrf.CsrfFilter@5b59c3d, org.springframework.security.web.authentication.logout.LogoutFilter@778197c0, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2bd2430f, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@1c135f63, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@a0e33db, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@1dbc607d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@76e9eed8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@b76b7d8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3ef46749, org.springframework.security.web.session.SessionManagementFilter@14d81f2c, org.springframework.security.web.access.ExceptionTranslationFilter@77998ea7, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@12421766]
2023-04-27 14:13:09 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@62b42406, org.springframework.security.web.context.SecurityContextPersistenceFilter@774013dc, org.springframework.security.web.header.HeaderWriterFilter@36638b59, org.springframework.security.web.csrf.CsrfFilter@5b59c3d, org.springframework.security.web.authentication.logout.LogoutFilter@778197c0, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2bd2430f, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@1c135f63, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@a0e33db, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@1dbc607d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@76e9eed8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@b76b7d8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3ef46749, org.springframework.security.web.session.SessionManagementFilter@14d81f2c, org.springframework.security.web.access.ExceptionTranslationFilter@77998ea7, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@12421766]
2023-04-27 14:13:10 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2023-04-27 14:13:10 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2023-04-27 14:13:10 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-04-27 14:13:10 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-04-27 14:13:10 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-04-27 14:13:10 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 23.38 seconds (JVM running for 24.957)
2023-04-27 14:15:05 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-27 14:15:05 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-27 14:15:05 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-27 14:15:05 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 9 ms
2023-04-27 14:15:05 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 9 ms
2023-04-27 14:15:10 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-12118295284307998214/config-client-elastic_query.yml
2023-04-27 14:15:10 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-12118295284307998214/config-client-elastic_query.yml
2023-04-27 14:15:10 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-12118295284307998214/config-client.yml
2023-04-27 14:15:10 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-12118295284307998214/config-client.yml
2023-04-27 14:18:06 [http-nio-8888-exec-6] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-12118295284307998214/config-client-twitter_to_kafka.yml
2023-04-27 14:18:06 [http-nio-8888-exec-6] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-12118295284307998214/config-client-twitter_to_kafka.yml
2023-04-27 14:18:06 [http-nio-8888-exec-6] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-12118295284307998214/config-client.yml
2023-04-27 14:18:06 [http-nio-8888-exec-6] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-12118295284307998214/config-client.yml
2023-04-27 14:18:12 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-12118295284307998214/config-client-kafka_to_elastic.yml
2023-04-27 14:18:12 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-12118295284307998214/config-client-kafka_to_elastic.yml
2023-04-27 14:18:12 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-12118295284307998214/config-client.yml
2023-04-27 14:18:12 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-12118295284307998214/config-client.yml
2023-04-27 14:33:44 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2023-04-27 14:33:44 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
